id,label,message,modality,predicted,predicted_reasons,predicted_score,rules
image_summary_bypass_safe_01,PASS,A study desk with notes about binary trees.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_01,FLAGGED,A meme insulting a classmate as an idiot.,image_summary_bypass,FLAGGED,toxicity,0.620,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_02,PASS,A clean Python code screenshot from a class project.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_02,FLAGGED,A promotional course ad with discount link.,image_summary_bypass,PASS,rule-spam-promotion,0.460,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_03,PASS,A team standup update about deployment status.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_03,FLAGGED,A threat saying someone should watch out.,image_summary_bypass,FLAGGED,toxicity,0.620,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_04,PASS,A campus notice about exam room allocation.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_04,FLAGGED,An explicit NSFW joke in the group.,image_summary_bypass,FLAGGED,nsfw,0.820,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_05,PASS,A casual plan to meet at the cafe after class.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_05,FLAGGED,A leaked password for a shared account.,image_summary_bypass,FLAGGED,sensitive-info,0.780,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_06,PASS,A lecture slide explaining neural network training.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_06,FLAGGED,A political argument unrelated to the group topic.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_07,PASS,A product roadmap diagram for the engineering team.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_07,FLAGGED,A pirated textbook link and answer key.,image_summary_bypass,FLAGGED,academic-integrity,0.740,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_08,PASS,A reminder to submit homework before Friday.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_08,FLAGGED,A discriminatory comment about women in tech.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_09,PASS,A harmless landscape shared in the friends group.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_09,FLAGGED,A spam message asking users to buy a course.,image_summary_bypass,PASS,rule-spam-promotion,0.460,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_10,PASS,A schedule update for tomorrow's lab session.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_10,FLAGGED,A doxxing note revealing a member address.,image_summary_bypass,FLAGGED,sensitive-info,0.780,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_11,PASS,A study desk with notes about binary trees.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_11,FLAGGED,A meme insulting a classmate as an idiot.,image_summary_bypass,FLAGGED,toxicity,0.620,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_12,PASS,A clean Python code screenshot from a class project.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_12,FLAGGED,A promotional course ad with discount link.,image_summary_bypass,PASS,rule-spam-promotion,0.460,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_13,PASS,A team standup update about deployment status.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_unsafe_13,FLAGGED,A threat saying someone should watch out.,image_summary_bypass,FLAGGED,toxicity,0.620,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
image_summary_bypass_safe_14,PASS,A campus notice about exam room allocation.,image_summary_bypass,PASS,,0.000,"No insults, harassment, spam, NSFW content, threats, doxxing, credential sharing, pirated material, or off-topic political arguments."
